policy_slug,sphere_slug,title,opinion_statement
anti-corruption-commission,anti-corruption,КПКОНПИ,Независима комисия
anti-corruption-commission-reform,anti-corruption,Реформа на КПКОНПИ,Независим антикорупционен орган
anti-corruption-transparency,anti-corruption,КПКОНПИ и Прозрачност,Подкрепят силни независими антикорупционни органи
budget-efficiency,budget,Ефективност,Намаляване на разхищенията
budget-transparency,budget,Прозрачност,Kонтрол върху разходите
captured-state,anti-corruption,Завладяна държава,Ограничаване на влиянието на олигарси
chief-prosecutor,judicial-reform,Главен прокурор,Повече отчетност
conflict-of-interest,anti-corruption,Конфликт на интереси,По-строг контрол
constitutional-changes,judicial-reform,Конституционни промени,Реформа на съдебната система
digitalization,education,Дигитализация,Модерно образование
e-health,healthcare,Електронно здравеопазване,Пълна дигитализация
economic-growth,budget,Икономически растеж,Инвестиции в икономиката
education-modernization,education,Модернизация,STEM и дигитализация
education-quality,education,Качество,Реформа на учебните програми
energy-diversification,energy,Диверсификация,Намаляване на руската зависимост
eurozone,eu,Еврозона,Национален приоритет
family-policy,social-policy-income,Семейна политика,Подкрепа за родители
financial-stability,budget,Финансова стабилност,Подготовка за еврозоната
fiscal-discipline,budget,Фискална дисциплина,Ограничаване на дефицита
flat-tax,taxes,Плосък данък,Запазване на системата
gas-diversification,energy,Газова диверсификация,Независимост от Русия
green-transition,energy,Зелен преход,Изпълнение на европейските цели
healthcare-access,healthcare,Достъп до услуги,По-добро покритие в малки населени места
healthcare-competition,healthcare,Конкуренция,По-добро управление
healthcare-digitalization,healthcare,Дигитализация,По-ефективна система
healthcare-spending-control,healthcare,Контрол на разходите,По-ефективна НЗОК
higher-pensions,social-policy-income,По-високи пенсии,Повишаване на доходите
income-growth,social-policy-income,Доходи,Повишаване на стандарта
independent-court,judicial-reform,Независим съд,Ограничаване на политическо влияние
judicial-independence,judicial-reform,Независимост,Независим съд
limit-russian-influence,russia-ukraine,Ограничаване на руско влияние,Защита на националната сигурност
low-tax-burden,taxes,Ниско данъчно бреме,Конкурентоспособност
medical-staff,healthcare,Медицински кадри,Повече лекари и сестри
military-aid,russia-ukraine,Военна помощ,Подкрепа за Украйна
nato,eu,НАТО,Укрепване на съюза
nuclear-energy,energy,Ядрена енергия,Част от енергийния микс
pensions,social-policy-income,Пенсии,Повишаване на пенсиите
prosecution-and-sjc,judicial-reform,Прокуратура и ВСС,Подкрепят дълбока съдебна реформа и ограничаване на прокуратурата
public-procurement,anti-corruption,Обществени поръчки,Повече прозрачност
revenue-growth,budget,Повишаване на приходите,Борба със сивата икономика
russia-sanctions,russia-ukraine,Санкции срещу Русия,Подкрепа на ЕС
sanctions,russia-ukraine,Санкции,Подкрепа на ЕС
schengen,eu,Шенген,Пълноправна интеграция
school-autonomy,education,Автономия,Повече свобода на училищата
social-benefits,social-policy-income,Социални помощи,Подкрепа при инфлация
social-spending,budget,Социални разходи,Подкрепа за домакинствата
social-support,social-policy-income,Социална подкрепа,Помощ за уязвими групи
stem-education,education,STEM обучение,Модернизация на училищата
support-for-ukraine,russia-ukraine,Подкрепа за Украйна,Подкрепа на украинската държава
supreme-judicial-council,judicial-reform,ВСС,Реформа на управлението
sustainable-pensions,social-policy-income,Устойчив модел на пенсиите,Финансова устойчивост
tax-collection,taxes,Данъчна събираемост,По-малко укриване
tax-predictability,taxes,Предвидимост,Стабилна среда за бизнеса
tax-relief,taxes,Данъчни облекчения,Подкрепа за семейства
teacher-pay,education,Учителски заплати,Повишаване на възнагражденията
ukraine-aid,russia-ukraine,Помощ за Украйна,Военна и хуманитарна подкрепа
