check_slug,claim_text,source_url,source_title,source_date
pp-e-health,Дигитализация на системата,https://promeni.bg,,
pp-healthcare-access,По-добро покритие в малки населени места,https://promeni.bg,,
pp-medical-staff,Повече лекари и сестри,https://promeni.bg,,
pp-revenue-growth,Борба със сивата икономика,https://promeni.bg,,
pp-social-spending,Подкрепа за домакинствата,https://promeni.bg,,
pp-economic-growth,Инвестиции в икономиката,https://promeni.bg,,
pp-flat-tax,Запазване на модела,https://promeni.bg,,
pp-tax-collection,По-малко укриване,https://promeni.bg,,
pp-tax-relief,Подкрепа за семейства,https://promeni.bg,,
pp-chief-prosecutor,Повече отчетност,https://promeni.bg,,
pp-supreme-judicial-council,Реформа на управлението,https://promeni.bg,,
pp-independent-court,Ограничаване на политическо влияние,https://promeni.bg,,
pp-anti-corruption-commission,Независима комисия,https://promeni.bg,,
pp-public-procurement,Повече прозрачност,https://promeni.bg,,
pp-captured-state,Ограничаване на влиянието на олигарси,https://promeni.bg,,
pp-teacher-pay,Повишаване на възнагражденията,https://promeni.bg,,
pp-stem-education,Модернизация на училищата,https://promeni.bg,,
pp-digitalization,Технологии в класните стаи,https://promeni.bg,,
pp-higher-pensions,Повишаване на доходите,https://promeni.bg,,
pp-social-benefits,Подкрепа при инфлация,https://promeni.bg,,
pp-family-policy,Подкрепа за родители,https://promeni.bg,,
pp-gas-diversification,Независимост от Русия,https://promeni.bg,,
pp-nuclear-energy,Нови мощности в Козлодуй,https://promeni.bg,,
pp-green-transition,Съобразяване с ЕС,https://promeni.bg,,
pp-eurozone,Бързо приемане на еврото,https://promeni.bg,,
pp-schengen,Пълноправно членство,https://promeni.bg,,
pp-nato,Укрепване на отбраната,https://promeni.bg,,
pp-ukraine-aid,Военна и хуманитарна подкрепа,https://promeni.bg,,
pp-russia-sanctions,Подкрепа на ЕС,https://promeni.bg,,
db-e-health,Пълна дигитализация,https://demokrati.bg,,
db-healthcare-spending-control,По-ефективна НЗОК,https://demokrati.bg,,
db-healthcare-competition,По-добро управление,https://demokrati.bg,,
db-fiscal-discipline,Ограничаване на дефицита,https://demokrati.bg,,
db-budget-transparency,Kонтрол върху разходите,https://demokrati.bg,,
db-budget-efficiency,Намаляване на разхищенията,https://demokrati.bg,,
db-flat-tax,Запазване на системата,https://demokrati.bg,,
db-tax-predictability,Стабилна среда за бизнеса,https://demokrati.bg,,
db-low-tax-burden,Конкурентоспособност,https://demokrati.bg,,
db-prosecution-and-sjc,Подкрепят дълбока съдебна реформа и ограничаване на прокуратурата,https://demokrati.bg,,
db-judicial-independence,Независим съд,https://demokrati.bg,,
db-anti-corruption-transparency,Подкрепят силни независими антикорупционни органи,https://demokrati.bg,,
db-conflict-of-interest,По-строг контрол,https://demokrati.bg,,
db-school-autonomy,Повече свобода на училищата,https://demokrati.bg,,
db-education-quality,Реформа на учебните програми,https://demokrati.bg,,
db-digitalization,Модерно образование,https://demokrati.bg,,
db-sustainable-pensions,Финансова устойчивост,https://demokrati.bg,,
db-social-support,Помощ за уязвими групи,https://demokrati.bg,,
db-income-growth,Повишаване на стандарта,https://demokrati.bg,,
db-green-transition,Изпълнение на европейските цели,https://demokrati.bg,,
db-nuclear-energy,Част от енергийния микс,https://demokrati.bg,,
db-energy-diversification,Независимост от Русия,https://demokrati.bg,,
db-eurozone,Приемане на еврото,https://demokrati.bg,,
db-schengen,Пълна интеграция,https://demokrati.bg,,
db-nato,Укрепване на съюза,https://demokrati.bg,,
db-military-aid,Подкрепа за Украйна,https://demokrati.bg,,
db-sanctions,Подкрепа на ЕС,https://demokrati.bg,,
db-limit-russian-influence,Защита на националната сигурност,https://demokrati.bg,,
pp-db-constitutional-changes,Реформа на съдебната система,https://promeni.bg,,
pp-db-anti-corruption-commission-reform,Независим антикорупционен орган,https://promeni.bg,,
pp-db-eurozone,Национален приоритет,https://promeni.bg,,
pp-db-schengen,Пълноправна интеграция,https://mfa.bg,,
pp-db-support-for-ukraine,Подкрепа на украинската държава,,,
pp-db-energy-diversification,Намаляване на руската зависимост,,,
pp-db-education-modernization,STEM и дигитализация,,,
pp-db-pensions,Повишаване на пенсиите,,,
pp-db-financial-stability,Подготовка за еврозоната,,,
pp-db-healthcare-digitalization,По-ефективна система,,,
