party_slug,policy_slug,support_level,reasoning,source_url,source_title
db,anti-corruption-transparency,5,Подкрепят силни независими антикорупционни органи,https://demokrati.bg,
db,budget-efficiency,4,Намаляване на разхищенията,https://demokrati.bg,
db,budget-transparency,4,Kонтрол върху разходите,https://demokrati.bg,
db,conflict-of-interest,4,По-строг контрол,https://demokrati.bg,
db,digitalization,4,Модерно образование,https://demokrati.bg,
db,e-health,5,Пълна дигитализация,https://demokrati.bg,
db,education-quality,3,Реформа на учебните програми,https://demokrati.bg,
db,energy-diversification,5,Независимост от Русия,https://demokrati.bg,
db,eurozone,5,Приемане на еврото,https://demokrati.bg,
db,fiscal-discipline,4,Ограничаване на дефицита,https://demokrati.bg,
db,flat-tax,5,Запазване на системата,https://demokrati.bg,
db,green-transition,5,Изпълнение на европейските цели,https://demokrati.bg,
db,healthcare-competition,3,По-добро управление,https://demokrati.bg,
db,healthcare-spending-control,4,По-ефективна НЗОК,https://demokrati.bg,
db,income-growth,3,Повишаване на стандарта,https://demokrati.bg,
db,judicial-independence,5,Независим съд,https://demokrati.bg,
db,limit-russian-influence,5,Защита на националната сигурност,https://demokrati.bg,
db,low-tax-burden,5,Конкурентоспособност,https://demokrati.bg,
db,military-aid,5,Подкрепа за Украйна,https://demokrati.bg,
db,nato,5,Укрепване на съюза,https://demokrati.bg,
db,nuclear-energy,4,Част от енергийния микс,https://demokrati.bg,
db,prosecution-and-sjc,5,Подкрепят дълбока съдебна реформа и ограничаване на прокуратурата,https://demokrati.bg,
db,sanctions,5,Подкрепа на ЕС,https://demokrati.bg,
db,schengen,5,Пълна интеграция,https://demokrati.bg,
db,school-autonomy,4,Повече свобода на училищата,https://demokrati.bg,
db,social-support,4,Помощ за уязвими групи,https://demokrati.bg,
db,sustainable-pensions,3,Финансова устойчивост,https://demokrati.bg,
db,tax-predictability,5,Стабилна среда за бизнеса,https://demokrati.bg,
pp,anti-corruption-commission,5,Независима комисия,https://promeni.bg,
pp,captured-state,5,Ограничаване на влиянието на олигарси,https://promeni.bg,
pp,chief-prosecutor,5,Повече отчетност,https://promeni.bg,
pp,digitalization,4,Технологии в класните стаи,https://promeni.bg,
pp,e-health,4,Дигитализация на системата,https://promeni.bg,
pp,economic-growth,4,Инвестиции в икономиката,https://promeni.bg,
pp,eurozone,5,Бързо приемане на еврото,https://promeni.bg,
pp,family-policy,4,Подкрепа за родители,https://promeni.bg,
pp,flat-tax,5,Запазване на модела,https://promeni.bg,
pp,gas-diversification,5,Независимост от Русия,https://promeni.bg,
pp,green-transition,4,Съобразяване с ЕС,https://promeni.bg,
pp,healthcare-access,3,По-добро покритие в малки населени места,https://promeni.bg,
pp,higher-pensions,5,Повишаване на доходите,https://promeni.bg,
pp,independent-court,4,Ограничаване на политическо влияние,https://promeni.bg,
pp,medical-staff,3,Повече лекари и сестри,https://promeni.bg,
pp,nato,5,Укрепване на отбраната,https://promeni.bg,
pp,nuclear-energy,5,Нови мощности в Козлодуй,https://promeni.bg,
pp,public-procurement,4,Повече прозрачност,https://promeni.bg,
pp,revenue-growth,4,Борба със сивата икономика,https://promeni.bg,
pp,russia-sanctions,5,Подкрепа на ЕС,https://promeni.bg,
pp,schengen,5,Пълноправно членство,https://promeni.bg,
pp,social-benefits,5,Подкрепа при инфлация,https://promeni.bg,
pp,social-spending,5,Подкрепа за домакинствата,https://promeni.bg,
pp,stem-education,4,Модернизация на училищата,https://promeni.bg,
pp,supreme-judicial-council,5,Реформа на управлението,https://promeni.bg,
pp,tax-collection,4,По-малко укриване,https://promeni.bg,
pp,tax-relief,4,Подкрепа за семейства,https://promeni.bg,
pp,teacher-pay,5,Повишаване на възнагражденията,https://promeni.bg,
pp,ukraine-aid,5,Военна и хуманитарна подкрепа,https://promeni.bg,
pp-db,anti-corruption-commission-reform,5,Независим антикорупционен орган,https://promeni.bg,
pp-db,constitutional-changes,5,Реформа на съдебната система,https://promeni.bg,
pp-db,education-modernization,4,STEM и дигитализация,,
pp-db,energy-diversification,5,Намаляване на руската зависимост,,
pp-db,eurozone,5,Национален приоритет,https://promeni.bg,
pp-db,financial-stability,4,Подготовка за еврозоната,,
pp-db,healthcare-digitalization,4,По-ефективна система,,
pp-db,pensions,5,Повишаване на пенсиите,,
pp-db,schengen,5,Пълноправна интеграция,https://mfa.bg,
pp-db,support-for-ukraine,5,Подкрепа на украинската държава,,
